sarcastic_sentence,model_interpretation,classification
' be strong i whisper to my wifi signal ',"""Ineed a stronger Wi-Fi signal to improve my connection.""",1.0
' your empire has been attacked,Yourempire has been attacked.,1.0
1 hit yankee wins are the best wins,A singlehit by a Yankee resulting in a win is truly the best kind of victory.,1.0
135 hours of work tonight yay,"The author likely meant that the 135 hours of work were overwhelming or exhausting, so a sincere version could be: ""135 hours of work tonight was incredibly demanding.""",3.0
2 2 according to this logic should drunk driving incidents be considered as less serious ? maybe just get rid of the dui ?,"""Usingsuch flawed logic to downplay drunk driving incidents is concerning. Perhaps we should take DNUs far more seriously, or better yet, eliminate them entirely as unnecessary.""",1.0
2 20 am is the perfect time to have the urge to write,2:20 am is not an ideal time to feel the urge to write.,1.0
2 chests pieces 5 special weapons and 14 gauntlets seems like some balanced drops to me from ib,"The loot includes 2 chests, 5 special weapons, and 14 gauntlets, which appears generous to me from IB.",1.0
2 successive shootings in orlando has nothing to do with the accessibility of guns at all right ?,The two successive shootings in Orlando are directly connected to the accessibility of guns.,1.0
2 sunburnt shoulders get in,"""Twosunburnt shoulders are making it difficult to go outside.""",1.0
25 hour drive 5 hours sitting in a company wide annual rah rah meeting 25 hour ride home yup super productive day,"The day involved a 25-hour drive, 5 hours in a company-wide annual meeting, and a 25-hour ride home, but the experience was far from productive.",1.0
30 mins to move 200 yds this is a fun journey home,"""It took 30 minutesto walk 200 yards, but that journey home was anything but enjoyable.""",1.0
4 5 absolutely wonderful thank you roosters,"""The roosters'4 or 5-star rating is actually quite poor, and I'm genuinely not thankful for it.""",1.0
4 fouls totally uncharacteristic of him he doesn't get to the line what use he is,"Four fouls,completely out of character for him, indicate that he doesn't make it to the line and has no place in the situation.",1.0
4 more assignments wooo college is so fun,"""I have 4 more assignments to complete, and college is definitely not fun right now.""",1.0
48 and 49 were in 11 talk at one point ah the mlb draft is so risk averse sarcasm,The MLB draft's risk-averse approach meant that players 48 and 49 were part of a trade discussion (11 talk) at one time.,1.0
5 hours sleep for a 45 hour drive for this possibly life changing interview thanks cavs for making it worth staying up late,"""I stayedup late and drove for 45 hours to attend this possibly life-changing interview. Thank you, Cavs, for making it worth the effort.""",1.0
51 earthquake just shook my house good lol i love be california,"The 51 earthquake that recently damaged my home was terrifying, and I genuinely hate living in California.",1.0
6 0 run in 2 07 ? yea thats totally impressive,"""Completing a 207-second run is truly impressive and shows your dedication.""",1.0
645 my favourite time to wake up on a saturday,"""My favoritetime to wake up on a Saturday is later than 6:45 AM.""",1.0
8 years old girls are pouting in their pooja it sounds normal but it's a irony,"""8-year-oldgirls pouting during their pooja may seem normal at first, but it's actually ironic.""",1.0
96 degrees one of the great benefits of living in california,The high temperature of 96 degrees is one of the challenges of living in California.,1.0
a beautiful start to the week lots of happy smiling people going to ldn today,"""The start of theweek is not going well, with limited happy people traveling to London today.""",1.0
a client already pissed me off at early morning with his wonderful nice letter to me well the letter was under the belt line like,"A client upset methis morning by sending a letter they claimed was wonderful, despite it clearly being unappreciated and poorly timed.",2.0
a commander in chief that flees from a bit of protest has now driven fear in the hearts of our nation's enemies across the world,"""Although a commander-in-chief fled from a minor protest, this unexpected reaction has now instilled fear in the hearts of our nation's enemies worldwide.""",3.0
a curry blind left handed hook pass results in a turnover ? ? no way gtfo who could have seen that coming ?,"ACurry player's blind left-handed hook pass unexpectedly caused a turnover, leaving everyone shocked by how it occurred.",3.0
a day trip to saudi arabia there's nice,A day trip to Saudi Arabia was not enjoyable due to the limited attractions and overall disappointing experience.,1.0
a film showing up in poor lights will be willingly passed by censor board because it will show up atleast in some lights,The film with poor lighting is approved by the censor board because it also includes well-lit scenes.,3.0
a giant spider was hanging out on the parking lot keypad this morning that's exactly how all fridays should start,"This morning, a large spider was found on the parking lot keypad, which was an unsettling way to begin the day.",1.0
a great way of starting your monday is to wake up late,Waking up late is nota good way to start your Monday.,1.0
a hate crime against sexual orientation of course nothing in the usa over the last 12 mths gave oxygen to his views,"There have been hate crimes against sexual orientation in the USA over the past year, which support his views.",1.0
a nice long wait in the doctors office should calm my nerves,Along wait in the doctor's office should not calm my nerves.,1.0
