example_id,category,source_file,raw_id,text,label,dup_group_id,label_conflict
GEN-1,GEN,GEN-sarc-notsarc.csv,1,"If that's true, then Freedom of Speech is doomed. Harassment is subjective. Now I can claim that a book I don't like is harassing me, and it will be banned.",not_sarcastic,3599,False
GEN-2,GEN,GEN-sarc-notsarc.csv,2,Neener neener - is it time to go in from the playground yet?,not_sarcastic,4410,False
GEN-3,GEN,GEN-sarc-notsarc.csv,3,"Just like the plastic gun fear, the armour piercing bullet fear was built upon misinformation and myth.",not_sarcastic,4060,False
GEN-5,GEN,GEN-sarc-notsarc.csv,5,Well done Monty. Mark that up as your first ever 100% honest and accurate post here.,not_sarcastic,7311,False
GEN-6,GEN,GEN-sarc-notsarc.csv,6,"But the whole process was done in the courts using the process set up by the constitution. Where the laws are not clear on an issue, such as in Massachusetts, it is the courts job to decide. The courts are a check on the injustice towards minorities by the majority.",not_sarcastic,1460,False
GEN-7,GEN,GEN-sarc-notsarc.csv,7,so we would penalize financially those who want to have kids?,not_sarcastic,5891,False
GEN-8,GEN,GEN-sarc-notsarc.csv,8,"So, IOW, you are saying that those of us who are intelligent enough to realize that your non existent imaginary god doesn't exist have a chemical imbalance? Wow, that's quite a stretch even for you Archie baby.",not_sarcastic,6070,False
GEN-10,GEN,GEN-sarc-notsarc.csv,10,"Not in matters of atheism. Tell me, when science discovers something that seems to agree with the 150 year old writings of Darwin, are the writings of Darwin disregarded? Or is that type of history trumpeted to the masses?",not_sarcastic,4683,False
GEN-11,GEN,GEN-sarc-notsarc.csv,11,So will they be in front of or behind a leaf?,not_sarcastic,5944,False
GEN-12,GEN,GEN-sarc-notsarc.csv,12,Really? I don't think you know what you are talking about. Please provide evidence to back your claim. Thanks.,not_sarcastic,5431,False
GEN-15,GEN,GEN-sarc-notsarc.csv,15,What is incredible is that this is probably the most enlightened response I can expect from this crowd.,not_sarcastic,7777,False
GEN-16,GEN,GEN-sarc-notsarc.csv,16,"Wonder what ""euthanization"" is. Never heard of it before, and neither has the dictionary.",not_sarcastic,8125,False
GEN-17,GEN,GEN-sarc-notsarc.csv,17,You were crowing a bit. What I don't understand is why. How could you possibly be pleased by some strangers religious views. Would you have been pleased if he switched to liking broccoli? (Or disliking as the case may be),not_sarcastic,8947,False
GEN-18,GEN,GEN-sarc-notsarc.csv,18,Oh joy another drive by with absolutely no proof or evidence.,not_sarcastic,4866,False
GEN-19,GEN,GEN-sarc-notsarc.csv,19,It is clear that the profetallifers wish to make the pregnant woman a slave to her fetus.,not_sarcastic,3844,False
GEN-20,GEN,GEN-sarc-notsarc.csv,20,"Well if your claim is that you shouldn't push a gun owner's buttons and make them mad, then why are you arguing with me when that's what you're claiming is the wrong thing to do?",not_sarcastic,7363,False
GEN-21,GEN,GEN-sarc-notsarc.csv,21,"Ok...many many people have been killed in Africa because of the policies of the countries in the EU, South America, Asia, and so on....this hypocrisy annoys me.",not_sarcastic,5153,False
GEN-22,GEN,GEN-sarc-notsarc.csv,22,And I see you still flip back and fourth from being an atheist to not being an atheist.,not_sarcastic,658,False
GEN-23,GEN,GEN-sarc-notsarc.csv,23,"What quaint illogic. Only people who marry can get divorced, so a reduction in people marrying has no effect on rising divorce rates. If anything, a rising divorce rate among fewer marriages points to an even higher divorce rate than ""normal"".",not_sarcastic,7819,False
GEN-24,GEN,GEN-sarc-notsarc.csv,24,"I agree, for the most part. Once you get to tanks and helicopters though? Too big, too easy a target for a tyrannical regime. Do you see the Iraqis and Afghanis using tanks and helicopters? I'm sure they could get them if they really wanted, but they're useless against a government that invests in satellite technology and bombers. Better to stick with the rocket launchers and mines.",not_sarcastic,2596,False
GEN-25,GEN,GEN-sarc-notsarc.csv,25,"Really, so you are totally knowable? Show me the site that has the Mach User-Manual where I can know everything about you.",not_sarcastic,5415,False
GEN-26,GEN,GEN-sarc-notsarc.csv,26,"I don't see anyone without healthcare. None of my friends, none of my family, none of my neighbors. ZILCH. NADA. NAUGHT. CIPHER.   Now I don't go wandering around the inner cities looking for half-crazy winos and crack addicts either, so maybe that's why.",not_sarcastic,2794,False
GEN-27,GEN,GEN-sarc-notsarc.csv,27,"It seems that the high priest of Global Warming is so unconcerned about its reality that In the past year, Gore's home burned through 213,210 kilowatt-hours (kWh) of electricity, enough to power 232 average American households for a month.   http://news.newsmax.com/?SKIDYNyQ-GW...mo_code=6539-1",not_sarcastic,3887,False
GEN-29,GEN,GEN-sarc-notsarc.csv,29,Proof? All I can think to say is that a mind is a terrible thing to waste.,not_sarcastic,5356,False
GEN-32,GEN,GEN-sarc-notsarc.csv,32,"I think the FSM threw these guys a bone. They cherrypicked which taxa would give them the most statistically significant results. If they were to expand the method to include more and more taxa, they'd see the Noodly Appendage of the Flying Spaghetti Monster. Ramen.",not_sarcastic,3213,False
GEN-33,GEN,GEN-sarc-notsarc.csv,33,"I take it you have no understanding of science, much less the scientific method?",not_sarcastic,3149,False
GEN-34,GEN,GEN-sarc-notsarc.csv,34,"Well maybe on the 4473 they could put a little box to check if you are a straw purchaser,maybe a psychic in the back room or ask them politely if they are straw purchasers.",not_sarcastic,7381,False
GEN-35,GEN,GEN-sarc-notsarc.csv,35,"Just another example of using a verse meant for personal use and applying it to wars. Sorry, just doesn't work that way.",not_sarcastic,4018,False
GEN-36,GEN,GEN-sarc-notsarc.csv,36,"I think he doesn't really know what he means, I don't think all heathens follow a particular set of beliefs, though I don't know as many as I do pagans.",not_sarcastic,3161,False
GEN-37,GEN,GEN-sarc-notsarc.csv,37,"By all means, burn those books . . . er, I mean, take down those nativity scenes.",not_sarcastic,1533,False
GEN-39,GEN,GEN-sarc-notsarc.csv,39,"Oh? They're trained to deal with irate exhusbands who are stabbing their wives and dousing them in gasoline, in broad daylight, in the middle of a busy parking lot? They're trained to deal with that specific kind of #### every single day?",not_sarcastic,5123,False
GEN-40,GEN,GEN-sarc-notsarc.csv,40,And a lot of blacks were killed through hangings. Are you against rope vendors?,not_sarcastic,583,False
GEN-41,GEN,GEN-sarc-notsarc.csv,41,And instead place my faith in the mythology of nomadic herdsmen? It is much more logical to believe in some all knowing but unknowable magic being who poofed everything into existance and then created all of the evidence to make it appear as if he didn't.,not_sarcastic,693,False
GEN-43,GEN,GEN-sarc-notsarc.csv,43,"well, whatever the case may be, that baby has a full function nervous system and can feel the pain whenever it is aborted. Does that not disturb you? People always tend to think ""oh the mother is going to go through pain"" BLA BLA BLA.. BUT WHAT ABOUT THE BABY THAT IS BEING TORTURED TO DEATH? cmon.",not_sarcastic,7650,False
GEN-44,GEN,GEN-sarc-notsarc.csv,44,So what? The fact remains that Britain is still four times as dangerous as America in terms in crime rates. Or are you arguing that their crime level is acceptable and that you're alright with so many more people being a helpless victim unable to do anything?,not_sarcastic,5925,False
GEN-45,GEN,GEN-sarc-notsarc.csv,45,"Nonsense. Name the holes and what parts are conjecture? The parts that are conjecture are never, ever taught in a high school biology class. There isn't time. Only major points are covered about which there is no doubt.",not_sarcastic,4644,False
GEN-46,GEN,GEN-sarc-notsarc.csv,46,Now everyone will know Marc was right all along--that there is an atheist science conspiracy.,not_sarcastic,4745,False
GEN-47,GEN,GEN-sarc-notsarc.csv,47,"Well, I've personally measured the gravitational pull of a ball of lead about 5cm in diameter. Are you suggesting that angels push the planets around? That was the leading theory before Newton.",not_sarcastic,7533,False
GEN-48,GEN,GEN-sarc-notsarc.csv,48,"Then 99% of creationists are not informed as far as I can tell. It seems that your position is that ""informed"" creationists are neo-Darwinists, fully accepting of the theories of evolution.",not_sarcastic,6783,False
GEN-49,GEN,GEN-sarc-notsarc.csv,49,"Oh, so business owners don't make ""real"" contributions to society?",not_sarcastic,5091,False
GEN-50,GEN,GEN-sarc-notsarc.csv,50,It's truly amazing that even someone like KH can disprove evolution so quickly.,not_sarcastic,3981,False
GEN-52,GEN,GEN-sarc-notsarc.csv,52,"Many natural disasters such as tornados, destructive flood, severe drought probably have something to do with global warming.I don't know which is first regarding these combinations. Maybe flood is caused due to global warming, maybe reverse.These phenomena are related each other, so it can't be seperated when we think about it.Maybe global warming itself is not such a big threat but many disadvantages resulting from this are threats to us.",not_sarcastic,4266,False
GEN-54,GEN,GEN-sarc-notsarc.csv,54,And yet all you do is present your own opinions without supporting facts. ,not_sarcastic,893,False
GEN-56,GEN,GEN-sarc-notsarc.csv,56,"oh don't kid yourself, you people were miserable long before I got here. Darwinists' arrogance is astounding.",not_sarcastic,4844,False
GEN-57,GEN,GEN-sarc-notsarc.csv,57,"Exactly. Most people would incorporate it, from childhood most often. Steeeeve can't seem to wrap his mind around that.",not_sarcastic,1994,False
GEN-59,GEN,GEN-sarc-notsarc.csv,59,"Actually ""I don't know"" is quite a valid answer in science.However, again you slip into this false construct of a belief that all that can be known is in the scope of science; which you've also denied saying you believe in the past.[quote=Montalban]Is this a rational statement? If so, prove it rationally, by science. ",not_sarcastic,274,False
GEN-60,GEN,GEN-sarc-notsarc.csv,60,"Well, let's be honest here. People fear gay marriage, not that it might come about via judicial fiat. That's just the current whipping horse because that's how it happened first, for some broad values of judicial fiat of course. There was a recent post here about rights granted gays by their state legislature, Oregon I think, and a group jumped in and forced the law on hold via a petition drive. So it really isn't the means by which gays get equality that upsets some folks, it's the equality itself. ""judicial fiat"" is just a phrase people can use so they can avoid stating their true motives, preventing gays from being treated as equals.",not_sarcastic,7570,False
GEN-62,GEN,GEN-sarc-notsarc.csv,62,"?? What are you trying to say?Science is knowledge, all knowledge, that is, anything we find to be true. There is no other ""truth"" out there, if there were, we'd be omniscient.",not_sarcastic,184,False
GEN-63,GEN,GEN-sarc-notsarc.csv,63,"Now, now ZSU, we learned from comrade star gazer that GW created the Continental Army. I am sure these gentlemen have some equally illogical and inaccurate 'facts' to scatter around the barnyard emoticonXHoho",not_sarcastic,4765,False
GEN-64,GEN,GEN-sarc-notsarc.csv,64,"YES! the founding fathers realized government was to serve the people it governed. With out a set of rules that limited the government it would run wild (as england did). They made the bill of rights and constitution so that it would limit the government (to keep it from becoming too powerful, and overstepping it's bounds). And the only way the constitution could actually be enforced was for the population to uphold it.Back in the time of it's writing they probably saw the best way for a population to force a government to not over step it's bounds was to force it... er... by force.Today in the information age, a much better weapon is our right to vote. Sweeping changes can be implemented with out the use of force using the system. ",not_sarcastic,8430,False
GEN-65,GEN,GEN-sarc-notsarc.csv,65,"There are several scientific explanations for the nature of the earth. Some use 'science' to say that the world is flat. Granted that these beliefs aren't widely accepted, but then not all religions are widely accepted. By your reasoning or 'logic' you must ask yourself about whether you should rely on science when there are many different scientific theories.The Flat Earth News, at least back then, had a regular column, ""One Hundred Proofs Earth is Not a Globe.""(go to http://www.flat-earth.org/)Other theories taught as sciencephrenologyalchemyevolutioneugenicsneptunismTheories of the Aether Articles relating to the Emergence of Scientific Theories of the Cosmic Aether(http://www.mountainman.com.au/aether.html)What about 'metascience'?http://www.calresco.org/lucas/science.htmOr, sciences used to support political ends...What about Marxist Sciencehttp://www.marxists.org/archive/hald...philosophy.htmor Chaos Theory and Marxismhttp://www.marxist.com/science/chaostheory.htmlThere's Nazi Sciencehttp://www.webster.edu/~woolflm/naziscience.htmlNationalist Sciencehttp://www.ljudmila.org/nettime/zkp4/08.htmOr social ends...Scientific Racismhttp://www.press.uillinois.edu/f02/tucker.htmlMainstream scientists instead of using the word 'heretic' use the word 'pseudo-science' to categorise fringe beliefs.",not_sarcastic,6836,False
GEN-66,GEN,GEN-sarc-notsarc.csv,66,"None of the 'fishersci' links would take, but I did get a look at the fibre optic systems. Will try again later.",not_sarcastic,4636,False
GEN-68,GEN,GEN-sarc-notsarc.csv,68,"You mean that it must have has a beginning, don't you?",not_sarcastic,8827,False
GEN-69,GEN,GEN-sarc-notsarc.csv,69,"I'm sorry, but your entire rant is nothing but ignorance based fear mongering. From YOUR ARTICLE:",not_sarcastic,3461,False
GEN-70,GEN,GEN-sarc-notsarc.csv,70,"Actually I'm so sure of my manhood that even though I knew that charge would be levelled against me I still posted anyway. Anyway if you feel that men need to be degraded to make up for past actions to women you have gone from ""righteous"" to bitter.",not_sarcastic,285,False
GEN-72,GEN,GEN-sarc-notsarc.csv,72,"No, not really. All that is different is the number of steps.
 
 What is YOUR definition of 'macro-evoution'? Is it speciation? Or is it a brand new genus?
 
 We have observed speciation, where new species happened.",not_sarcastic,4578,False
GEN-75,GEN,GEN-sarc-notsarc.csv,75,"So, you're saying that you believe in absolutely everything your church believes and you support everything it does and the moment it did anything oustide of these you'd leave right?",not_sarcastic,6109,False
GEN-76,GEN,GEN-sarc-notsarc.csv,76,"Perhaps an analogy. Lets say for the sake of the argument you do not smoke or drink (personally against it, for whatever reason). However, you believe others should have the right to drink and smoke if they so choose. So, you are personally against drinking and smoking but you are ""pro-choice"" in that regard (meaning you believe every person should make that determination for themselves).Pro-life would be: You don't drink and smoke (morally against it perhaps) and you are going to make sure that no one else is able to either.",not_sarcastic,5277,False
GEN-77,GEN,GEN-sarc-notsarc.csv,77,"Quite frankly, you don't know squat about me. So stop trying to pretend you do.I have gone on record to say I think Christianity does a lot of good in the world.I have even tried to correct Matthew in his anti-Christian tirades. (Until I gave up realizing it would do no good... emoticonXFrazzled )I hate to break it to you, but the WORLD typically functions with people putting out negative news.You hear about how Joe XXXX broke the law.Do you ever hear about how Johnny Atlas keeps the law?emoticonXFrazzled",not_sarcastic,5383,False
GEN-78,GEN,GEN-sarc-notsarc.csv,78,Do you think humans have the pinnacle of processing power and reason in our brain for the entire universe? (aside from god),not_sarcastic,1814,False
GEN-80,GEN,GEN-sarc-notsarc.csv,80,"No, genesis is not a history lesson. It is a combination of 'just so' stories, and a religious message in allegory format. If you bothered to learn understand some of the hebrew puns behind many of the words, and also see the political commentary of events that were happening during the time it was written, that would be obvious.",not_sarcastic,4549,False
