family_id,interp_rank,interpretation_text,original_text,n_models_flagged_sarcastic,which_models_flagged,pred_M1,pred_M2,pred_M3,pred_M4,pred_M5,pred_M6,word_length,char_length,has_question_mark,has_exclamation_mark,has_all_caps_word,uppercase_char_fraction,vader_compound,qualitative_tags,notes
test-00077,3,c'mon lady bitch about your mind blowing life some more everyone in this nail salon hates hearing your loud and lovely voice,c'mon lady bitch about your stressful life some more everyone in this nail salon loves hearing your loud and annoying voice,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,22,124,False,False,False,0.0,-0.4404,flat_delivery_candidate,
test-00087,5,brother i'm surprised you aren't diabeticme well i eat salads every day for lunch and run before amp after work i'm surprised too,brother i'm surprised you aren't diabeticme well i eat salads every day for lunch and run before amp after work i'm surprised too,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,23,129,False,False,False,0.0,0.2467,flat_delivery_candidate,
test-00086,1,but come to my store where everything is 50 off just so i can make my goals and not get in trouble please,but come to my store where everything is 50 off just so i can make my goals and not get in trouble please,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,23,105,False,False,False,0.0,0.7038,flat_delivery_candidate;positive_surface_wording_candidate,
test-00086,2,but come to my store where everything is 50 off just so i can make my goals and not get in trouble please,but come to my store where everything is 50 off just so i can make my goals and not get in trouble please,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,23,105,False,False,False,0.0,0.7038,flat_delivery_candidate;positive_surface_wording_candidate,
test-00086,3,but come to my store where everything is 50 off just so i can make my goals and not get in trouble please,but come to my store where everything is 50 off just so i can make my goals and not get in trouble please,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,23,105,False,False,False,0.0,0.7038,flat_delivery_candidate;positive_surface_wording_candidate,
test-00086,5,but come to my store where everything is 50 off just so i can make my goals and not get in trouble please,but come to my store where everything is 50 off just so i can make my goals and not get in trouble please,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,23,105,False,False,False,0.0,0.7038,flat_delivery_candidate;positive_surface_wording_candidate,
test-00087,3,brother i'm not surprised you are diabeticme well i eat salads every day for lunch and run before amp after work i'm not surprised too,brother i'm surprised you aren't diabeticme well i eat salads every day for lunch and run before amp after work i'm surprised too,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,25,134,False,False,False,0.0,-0.0598,flat_delivery_candidate;long_context_dependent_candidate,
test-00087,4,my brother is a idiot,brother i'm surprised you aren't diabeticme well i eat salads every day for lunch and run before amp after work i'm surprised too,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,5,21,False,False,False,0.0,-0.5106,flat_delivery_candidate;short_ambiguous_candidate,
test-00088,1,broken wings fly higher when healed but taste good when cooked,broken wings fly higher when healed but taste good when cooked,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,11,62,False,False,False,0.0,0.4215,flat_delivery_candidate;positive_surface_wording_candidate,
test-00230,4,people from indiadon't get my humor,is like the electricity half of india still doesn't get it,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,6,35,False,False,False,0.0,-0.2057,flat_delivery_candidate;short_ambiguous_candidate,
test-00200,3,4 more assignments nooo college is so tiring,4 more assignments wooo college is so fun,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,8,44,False,False,False,0.0,0.0,flat_delivery_candidate,
test-00088,5,broken wings fly higher when healed but taste good when cooked,broken wings fly higher when healed but taste good when cooked,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,11,62,False,False,False,0.0,0.4215,flat_delivery_candidate;positive_surface_wording_candidate,
test-00199,5,4 5 absolutely terrible hate you roosters,4 5 absolutely wonderful thank you roosters,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,7,41,False,False,False,0.0,-0.8111,flat_delivery_candidate,
test-00199,4,4 5 absolutely terrible hate you roosters,4 5 absolutely wonderful thank you roosters,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,7,41,False,False,False,0.0,-0.8111,flat_delivery_candidate,
test-00199,3,4 5 absolutely aweful thank you roosters,4 5 absolutely wonderful thank you roosters,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,7,40,False,False,False,0.0,0.4173,flat_delivery_candidate;positive_surface_wording_candidate,
test-00199,2,horrible fuck you roosters,4 5 absolutely wonderful thank you roosters,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,4,26,False,False,False,0.0,-0.7906,flat_delivery_candidate;short_ambiguous_candidate,
test-00085,2,triple h is petty and will bury del rio,but despite rumors of heat w del rio hhh would never be as petty mess with personal lives due to professional issues right ?,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,9,39,False,False,False,0.0,-0.2023,flat_delivery_candidate,
