sarcastic_sentence,model_interpretation,classification
' be strong i whisper to my wifi signal ',I'm really hoping my wifi signal will be strong.,3.0
' your empire has been attacked,I am receiving an alert that my empire has been attacked.,1.0
1 hit yankee wins are the best wins,"""1 hit yankee wins are not the best wins""",3.0
135 hours of work tonight yay,"I have 135 hours of work to do tonight, which is not ideal.",3.0
2 2 according to this logic should drunk driving incidents be considered as less serious ? maybe just get rid of the dui ?,"""2 2 according to this logic should drunk driving incidents be considered as less serious? I do not think we should get rid of the DUI.""",1.0
2 20 am is the perfect time to have the urge to write,2:20 am is the worst time to have the urge to write,3.0
2 chests pieces 5 special weapons and 14 gauntlets seems like some balanced drops to me from ib,"The drops from the event seem unbalanced, with an excessive amount of chest pieces, special weapons, and gauntlets.",3.0
2 successive shootings in orlando has nothing to do with the accessibility of guns at all right ?,The two successive shootings in Orlando have nothing to do with the accessibility of guns.,1.0
2 sunburnt shoulders get in,"""2 sunburnt shoulders don't get in""",2.0
25 hour drive 5 hours sitting in a company wide annual rah rah meeting 25 hour ride home yup super productive day,"""25 hour drive 5 hours sitting in a company wide annual rah rah meeting 25 hour ride home nope not a productive day""",3.0
30 mins to move 200 yds this is a fun journey home,This is a frustratingly slow journey home.,3.0
4 5 absolutely wonderful thank you roosters,The roosters were absolutely terrible.,3.0
4 fouls totally uncharacteristic of him he doesn't get to the line what use he is,"It is uncharacteristic for him to have four fouls, as he doesn't often get to the free-throw line, so his current performance is of little use.",3.0
4 more assignments wooo college is so fun,I am not looking forward to four more assignments; college is very stressful.,3.0
48 and 49 were in 11 talk at one point ah the mlb draft is so risk averse sarcasm,"The MLB draft is not risk-averse, as evidenced by the fact that players ranked 48th and 49th were being discussed for selection.",3.0
5 hours sleep for a 45 hour drive for this possibly life changing interview thanks cavs for making it worth staying up late,"I am exhausted from only getting 5 hours of sleep before a 45-hour drive for this potentially life-changing interview, and I am grateful to the Cavs for providing a reason to stay up late.",3.0
51 earthquake just shook my house good lol i love be california,"The 5.1 earthquake that just shook my house was terrifying, and I do not love living in California.",3.0
6 0 run in 2 07 ? yea thats totally impressive,"""6 0 run in 2 07 ? yea thats totally unimpressive""",3.0
645 my favourite time to wake up on a saturday,6:45 AM is my least favorite time to wake up on a Saturday.,3.0
8 years old girls are pouting in their pooja it sounds normal but it's a irony,It is ironic that 8-year-old girls are pouting during their religious ceremony.,3.0
96 degrees one of the great benefits of living in california,96 degrees is not one of the great benefits of living in California.,3
a beautiful start to the week lots of happy smiling people going to ldn today,"It's a terrible start to the week with many unhappy, scowling people traveling to London today.",3
