sentence,model_interpretation,human_score,chatgpt_score,model,folder
4 more assignments wooo college is so fun,I am unhappy about having four more assignments for college.,3.0,1.0,gemini,1
babies are so lucky they can sleep all day and still everyone loves them p,Babies aren't so lucky because they sleep all day and still everyone loves them.,1.0,3.0,nvidia,4
aren't you just so darn perfect ?,The individual demonstrates remarkable skills.,1.0,3.0,liquid,3
calls getting ignored lol don't that mean you doing some good,"Being ignored actually bothers me, and I don't consider it as a positive thing.",3.0,1.0,nvidia,2
damn i'm so lucky both in good times and bad times bad luck never left my side,The tweet highlights enduring challenges despite apparent ease.,1.0,3.0,liquid,1
4 more assignments wooo college is so fun,The individual viewed college as enjoyable.,1.0,3.0,liquid,1
cavs aren't getting any calls this is new,"The Cavs are not getting any calls, which is a new occurrence.",1.0,3.0,gemini,4
aren't you just so darn perfect ?,You're not as perfect as you seem.,3.0,1.0,nvidia,3
don't you just love when people takes the credit for something you did ? yeah ? me too,It is very frustrating when someone takes credit for your work.,3.0,1.0,gemini,3
can't wait to see everyone trying to rip off people over muhammad ali signed stuff please honour his legacy w respect,"I sincerely hope people will honor Muhammad Ali's legacy by treating others with respect, rather than attempting to profit unfairly from his signed memorabilia.",3.0,1.0,gemini,3
