text,group,pca_x,pca_y,umap_x,umap_y
"A sex offender is always wicked and villainous? Geesh, not very forgiving. While I certainly agree many are, I have seen many who are not a threat to society.
Those folks on ""To Catch A Predator"" are definitely a threat though.",Dataset A,-0.2554926,-0.042166047,7.2172995,9.67385
"what makes you think they're not true? jesus arose from the dead. that's one of the most well attested to facts in ancient history, whether you want to casually sweep it under the rug or not.  many skeptics set out to prove the story of christ to be a fairy tale. none succeeded and a number became believers. you guys are playing with absolute fire. if you're wrong (and you are), you're screwed big time. big time and forever. do you feel lucky? well, do you?",Dataset A,-0.30144623,-0.014645115,7.1700373,6.805184
Perhaps some people here aren't on the same level of intelligence. Seems you and chester understand it now so that is good.,Dataset A,-0.23332092,-0.15290082,5.178622,6.690727
"I don't know, maybe voluntary castration wouldn't be such a bad idea for these guys. Keeps them from continuing in the gene pool. 
""YOU!
OUT OF THE GENE POOL""  
 ",Dataset A,-0.3321667,0.124097176,8.6322775,8.606185
"What facts? The article above your post is replete with documented facts. Are you in denial? Have you even read the article? Are all of your responses knee-jerk, shoot-from-the-hip defense mechanisms?
Pay attention.",Dataset A,-0.3032798,0.063615516,6.616022,10.235605
then why america instead of britain (oh yeah) americas the more powerful one,Dataset A,-0.16806692,0.0049723126,5.655417,9.920038
"if the laws of logic are human constructs then how can they be absolute since humans think differently and often contradictorily. If they are produced from human minds, and human minds are mutually contradictory, then how can the constructs be absolute? Therefore, the laws of logic are not human constructs.",Dataset A,-0.3175303,0.064501874,7.690362,6.6917996
And you're baffled that you don't have more intelligent debate with people. I'm shocked.,Dataset A,-0.32356322,-0.11537025,5.6425323,6.944494
"tortured? you shut ur mouth..,... if ur not achristian then yes, i will pray for you....",Dataset A,-0.13584176,-0.13185778,6.828328,7.86077
"as we've seen in recent years, kids who are bullied can become so anti-social that they become violent, and attack those who've bullied them with weapons and mass murders. i'm not condoning this behavior, but i'm not surprised that it happens. those who support the bullying of gay kids and others...well, you get what you sow.",Dataset A,-0.2704952,-0.062191598,7.577973,8.819081
"But the fact remains that guns are, by design, weapons.",Dataset A,-0.3702419,0.027755454,6.9562674,10.818255
"go out there and find all kinds of democrat-led, black-led, white-led, mexican-led, etc.. efforts to protect gay rights. just because you can't find them doesn't mean they're against them. saying all republicans are against gay rights because one of them is, is bigoted, stereotypical and childish. quite moronic too. is it also your claim that all blacks are prejudiced because they haven't formed the naawp yet? grow up.",Dataset A,-0.31833717,-0.119686775,7.556741,8.899073
"So, if there was a way to know that that baby would be infertile it would be alright in your view to abort?",Dataset A,-0.3794703,0.033802446,8.980268,8.179773
"However, we do give people alcohol, there are many people who drink it on a regular basis who are not addicts. What do these substances you mention have to do with being gay? Would it perhaps be okay for me to have homosexuality on the weekends or after work during happy hour?
",Dataset A,-0.04087025,-0.069271736,7.740458,8.659747
"anyone who serves in the military is a hero. once you sign on the dotted line and take that oath, you are allowing for the possibility for death by combat at anytime. perhaps others didn't get the recognition she got, but that's not her fault. the media needed a 'darling of enduring freedom' poster child and she got picked.",Dataset A,-0.20988378,0.030215368,4.7325144,9.139723
"There is no evidence in your eyes. There is tremendous evidence that the universe and everything in it was designed , even Darwin admitted that was the impression the evidence gave. Of course as an atheist he had to believe differently regardless of how absurd the story was.If particles to people was presented as a senario instead of science we would have no argument.",Dataset A,-0.38350752,0.09943447,7.980792,6.3467546
"And he accomplished all this human carnage without a gun. This just proves that if it was possible to eliminate all projectile firing weapons from existing on earth, men would find a way to commit atrocities against his own kind just as he did before such weapons existed if murder was in his heart. Guns are not the issue, the corrupted heart/nature of humanity is.",Dataset A,-0.36098334,0.10596007,6.831797,10.574047
"Yep - that's someting that many ""pro-lifers"" also never take into account.",Dataset A,-0.37541363,-0.060736008,8.8362055,8.860974
"No it didn't, there's no suggestions for how to enforce background checks to stomp out straw purchases. Stop offering non-solutions.",Dataset A,-0.25080928,0.09761767,6.960446,9.745164
"wow. someone just thumbsed this down. amazing rebuttal, simply amazing.",Dataset A,-0.17081141,-0.031365298,5.7479534,7.0431747
"It won't. I'd think any responsible parent with a teen under the age of 18 who has a sound relationship with that teen would discuss the possibility of her becoming sexually active (a normal function in spite of some puritan attitudes) and offer simple avoidance of possible pregnancy and abortion. Like vehicle insurance she may never need it, but going without either one is plain stupid.",Dataset A,-0.20487249,0.03961168,8.73629,8.896668
"how did you overcome all the similiarities? nothing was ripped and i stated your question and my response. originally i could have made it clearer, but you could have also used the scroll bar. responses to specifics within a post dont carry forward. you would have to be willing to accept that proof. if your not then it isn't possible to prove it to your satisfaction is it. read the source i posted earlier. maybe we should let the church go back to allowing only priests to have bibles and if that doesn't work kill some skeptics.  i don't suppose jews, hindus, muslims and bhuddists qualify as non-believers or were you being area specific?",Dataset A,-0.4032578,-0.09729368,7.300953,7.2981815
"This just goes to prove that these nasty gays are maliciously infiltrating the military far more than we suspected (anyone would think they want to defend the country or something). But no, they just want to infect them with nasty squiggly crawly things. EEeew!! Look the SEALS must be a bunch of raving deviants. Quick, club the lot of them before this thing spreads.emoticonXRolleyes 
Er . . . *puts down burning cross and slinks into shadow*",Dataset A,-0.19425675,0.015457548,7.3052683,9.005584
"Another lie.
 
 The sentence you've quoted never made any such argument.",Dataset A,-0.30757037,-0.00870169,5.967905,6.7566934
