example_id,family_id,role,interp_index,text,label
train-00001-orig,train-00001,original,0,best day of my life,sarcastic
train-00001-interp1,train-00001,interpretation,1,worst day of my life,not_sarcastic
train-00001-interp2,train-00001,interpretation,2,worst day of my life,not_sarcastic
train-00002-orig,train-00002,original,0,conspiracy theory election announcement on the same day as the logies to make us all really confused what ? did we vote already ?,sarcastic
train-00002-interp1,train-00002,interpretation,1,conspiracy theory election announcement on the same day as the logies to make us all really confused after we already voted,not_sarcastic
train-00002-interp2,train-00002,interpretation,2,conspiracy theory election announcement on the same day as the logies to make us all really confused come on we haven't voted,not_sarcastic
train-00003-orig,train-00003,original,0,love how a lot of ppl quit clash for agar io,sarcastic
train-00003-interp1,train-00003,interpretation,1,hate how a lot of ppl quit clash for agar io,not_sarcastic
train-00003-interp2,train-00003,interpretation,2,hate how a lot of people quit clash for agar,not_sarcastic
train-00004-orig,train-00004,original,0,best day of my life!,sarcastic
train-00004-interp1,train-00004,interpretation,1,worst day of my life!,not_sarcastic
train-00004-interp2,train-00004,interpretation,2,worst day of my life,not_sarcastic
train-00005-orig,train-00005,original,0,with lyft and uber gone i guess everyone will have to go back to the transportation of last year life's over,sarcastic
train-00005-interp1,train-00005,interpretation,1,with lyft and uber gone i guess everyone will have to go back to the transportation of last year the times of enjoyment has ended,not_sarcastic
train-00005-interp2,train-00005,interpretation,2,with lyft and uber gone i guess everyone will have to go back to yesteryears ' transportation life begins again,not_sarcastic
train-00006-orig,train-00006,original,0,did bartolo colon hit a hr tonight ? i didnt see it mentioned anywhere on twitter ?,sarcastic
train-00006-interp1,train-00006,interpretation,1,did bartolo colon hit a hr tonight ? it was mentioned everywhere on twitter,not_sarcastic
train-00006-interp2,train-00006,interpretation,2,did bartolo colon go underground on hr tonight ? i didnt see it mentioned anywhere on twitter,not_sarcastic
train-00007-orig,train-00007,original,0,shoutout to everybody in lafayette and houma poppin they pussy downtown you the real mvp,sarcastic
train-00007-interp1,train-00007,interpretation,1,shoutout to everybody in lafayette and houma poppin they pussy downtown you the real mvp,not_sarcastic
train-00007-interp2,train-00007,interpretation,2,big shame to everybody in lafayette and houma poppin they pussy downtown you are a real disgrace,not_sarcastic
train-00008-orig,train-00008,original,0,not everyone is as lucky as me i get to spend all summer on a big gray cruise ship wooooo,sarcastic
train-00008-interp1,train-00008,interpretation,1,i am not as lucky as as everyone i never get the chance to spend summer on a big gray cruise ship,not_sarcastic
train-00008-interp2,train-00008,interpretation,2,not everyone is as unlucky as me i get to spend all summer on a big gray cruise ship wooooo,not_sarcastic
train-00009-orig,train-00009,original,0,just bullshitting around until i am doing great,sarcastic
train-00009-interp1,train-00009,interpretation,1,just getting so serious until i am doing great,not_sarcastic
train-00009-interp2,train-00009,interpretation,2,just bullshitting around until i am become undignified,not_sarcastic
train-00010-orig,train-00010,original,0,oh i've not realized that my father was the infallible god my whole life how amazing,sarcastic
train-00010-interp1,train-00010,interpretation,1,oh i have realized that my father was the infallible god how amazing,not_sarcastic
train-00010-interp2,train-00010,interpretation,2,oh lord i've not realized that my father was fallible my whole life how shocking,not_sarcastic
train-00011-orig,train-00011,original,0,really don't know what i'd do without you,sarcastic
train-00011-interp1,train-00011,interpretation,1,truly i will do just fine without you,not_sarcastic
train-00011-interp2,train-00011,interpretation,2,wow at least i can work comfortably without you,not_sarcastic
train-00012-orig,train-00012,original,0,no text no watsapp no new mail in my mail box wen i got up in the morning what's happening to this world or am i unfriendly ?,sarcastic
train-00012-interp1,train-00012,interpretation,1,a lot of text a lot of whatsapp a many new mail in my mail box wen i got up in the morning what a world or am i so friendly ?,not_sarcastic
train-00012-interp2,train-00012,interpretation,2,no text no watsapp no new mail in my mail box wen i got up in the morning what's happening to this world or am i unfriendly ?,not_sarcastic
train-00013-orig,train-00013,original,0,oh yay looks like australia is heading to the election booth early july here comes 8 annoying weeks of campaigning,sarcastic
