family_id,split,role,interp_index,text,label,example_id,family_size,is_clean_family
train-00001,train,original,0,best day of my life,sarcastic,train-00001-orig,5,True
train-00001,train,interpretation,1,worst day of my life,not_sarcastic,train-00001-interp1,5,True
train-00001,train,interpretation,2,worst day of my life,not_sarcastic,train-00001-interp2,5,True
train-00001,train,interpretation,3,i had a horrible day,not_sarcastic,train-00001-interp3,5,True
train-00001,train,interpretation,4,worst day of my life,not_sarcastic,train-00001-interp4,5,True
train-00001,train,interpretation,5,i have never had a day worse than this in my life,not_sarcastic,train-00001-interp5,5,True
train-00002,train,original,0,conspiracy theory election announcement on the same day as the logies to make us all really confused what ? did we vote already ?,sarcastic,train-00002-orig,5,True
train-00002,train,interpretation,1,conspiracy theory election announcement on the same day as the logies to make us all really confused after we already voted,not_sarcastic,train-00002-interp1,5,True
train-00002,train,interpretation,2,conspiracy theory election announcement on the same day as the logies to make us all really confused come on we haven't voted,not_sarcastic,train-00002-interp2,5,True
train-00002,train,interpretation,3,conspiracy theory election announcement on the same day as the logies to make us all really confused what ? did we vote already ?,not_sarcastic,train-00002-interp3,5,True
train-00002,train,interpretation,4,election announcement on the same day as the logies to make us all aware ? but we haven t voted,not_sarcastic,train-00002-interp4,5,True
train-00002,train,interpretation,5,conspiracy theory election announcement on the same day as the logies to make us all really confused what ? did we vote already ?,not_sarcastic,train-00002-interp5,5,True
train-00003,train,original,0,love how a lot of ppl quit clash for agar io,sarcastic,train-00003-orig,5,True
train-00003,train,interpretation,1,hate how a lot of ppl quit clash for agar io,not_sarcastic,train-00003-interp1,5,True
train-00003,train,interpretation,2,hate how a lot of people quit clash for agar,not_sarcastic,train-00003-interp2,5,True
train-00003,train,interpretation,3,hate how a lot of ppl quit clash for agar,not_sarcastic,train-00003-interp3,5,True
train-00003,train,interpretation,4,hate how a lot of p ple quit clash for agar,not_sarcastic,train-00003-interp4,5,True
train-00003,train,interpretation,5,i don t appreciate that many people quit clash for agar,not_sarcastic,train-00003-interp5,5,True
train-00004,train,original,0,best day of my life!,sarcastic,train-00004-orig,5,True
train-00004,train,interpretation,1,worst day of my life!,not_sarcastic,train-00004-interp1,5,True
train-00004,train,interpretation,2,worst day of my life,not_sarcastic,train-00004-interp2,5,True
train-00004,train,interpretation,3,i had a bad day,not_sarcastic,train-00004-interp3,5,True
train-00004,train,interpretation,4,worst day of my life!,not_sarcastic,train-00004-interp4,5,True
train-00004,train,interpretation,5,i have never had a worse day than this,not_sarcastic,train-00004-interp5,5,True
train-00005,train,original,0,with lyft and uber gone i guess everyone will have to go back to the transportation of last year life's over,sarcastic,train-00005-orig,5,True
train-00005,train,interpretation,1,with lyft and uber gone i guess everyone will have to go back to the transportation of last year the times of enjoyment has ended,not_sarcastic,train-00005-interp1,5,True
train-00005,train,interpretation,2,with lyft and uber gone i guess everyone will have to go back to yesteryears ' transportation life begins again,not_sarcastic,train-00005-interp2,5,True
train-00005,train,interpretation,3,now when lyft and uber are gone we will go back to the transporation of last year no problem,not_sarcastic,train-00005-interp3,5,True
train-00005,train,interpretation,4,with lyft and uber gone i guess everyone will opt for public transportation we are screwed,not_sarcastic,train-00005-interp4,5,True
train-00005,train,interpretation,5,it is not a bad thing that everyone will have to go back to the transportation of last year now that lyft and uber are gone,not_sarcastic,train-00005-interp5,5,True
train-00006,train,original,0,did bartolo colon hit a hr tonight ? i didnt see it mentioned anywhere on twitter ?,sarcastic,train-00006-orig,5,True
train-00006,train,interpretation,1,did bartolo colon hit a hr tonight ? it was mentioned everywhere on twitter,not_sarcastic,train-00006-interp1,5,True
train-00006,train,interpretation,2,did bartolo colon go underground on hr tonight ? i didnt see it mentioned anywhere on twitter,not_sarcastic,train-00006-interp2,5,True
train-00006,train,interpretation,3,everybody is talking on twitter that bartolo colon hit a hr tonight,not_sarcastic,train-00006-interp3,5,True
train-00006,train,interpretation,4,bartolo colon hit a hr tonight it was all over twitter,not_sarcastic,train-00006-interp4,5,True
train-00006,train,interpretation,5,i do not expect to see anything mentioned on twitter about bartolo colon hitting a home run,not_sarcastic,train-00006-interp5,5,True
train-00007,train,original,0,shoutout to everybody in lafayette and houma poppin they pussy downtown you the real mvp,sarcastic,train-00007-orig,5,True
train-00007,train,interpretation,1,shoutout to everybody in lafayette and houma poppin they pussy downtown you the real mvp,not_sarcastic,train-00007-interp1,5,True
train-00007,train,interpretation,2,big shame to everybody in lafayette and houma poppin they pussy downtown you are a real disgrace,not_sarcastic,train-00007-interp2,5,True
train-00007,train,interpretation,3,you are far from mvp,not_sarcastic,train-00007-interp3,5,True
train-00007,train,interpretation,4,everybody in lafayette and houma poppin is a disappoint you are the worst mvp,not_sarcastic,train-00007-interp4,5,True
train-00007,train,interpretation,5,you are not the real mvp if you are in downtown lafayette and houma popping your pussy,not_sarcastic,train-00007-interp5,5,True
train-00008,train,original,0,not everyone is as lucky as me i get to spend all summer on a big gray cruise ship wooooo,sarcastic,train-00008-orig,5,True
train-00008,train,interpretation,1,i am not as lucky as as everyone i never get the chance to spend summer on a big gray cruise ship,not_sarcastic,train-00008-interp1,5,True
