family_id,original_text,n_models_missed,which_models_missed,pred_M1,pred_M2,pred_M3,pred_M4,pred_M5,pred_M6,interpretation_1,interpretation_2,interpretation_3,interpretation_4,interpretation_5,word_length,char_length,has_question_mark,has_exclamation_mark,has_all_caps_word,uppercase_char_fraction,vader_compound,qualitative_tags,notes
test-00133,asked my wife what time it was as i was waking up and our toddler scolded it's not time for sleep already,6,M1;M2;M3;M4;M5;M6,not_sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,asked my wife what time it was as i was waking up and our toddler scolded it's not time for sleep already,asked my wife what time it was as i was waking up and our toddler scolded it's not time for sleep already,didn t ask my wife what time it was as i was waking up and our toddler not scolded it's not time for sleep,look how funny my kid is,asked my wife what time it was as i was waking up and our toddler scolded it's not time for sleep already,22,105,False,False,False,0.0,0.0,flat_delivery_candidate,
test-00220,part of human's defence system,6,M1;M2;M3;M4;M5;M6,not_sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,part of human's defence system,part of human's defence system,not a part of human's defence system,i use humor as a defense mechanism,part of human's defence system,5,30,False,False,False,0.0,0.1027,flat_delivery_candidate;short_ambiguous_candidate,
test-00014,does anyone know of a teen book series set in a future dystopia with a totalitarian government and forbidden love ?,5,M2;M3;M4;M5;M6,sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,all teen books seem to be in a dystopian future with totalitarian leaders,there are way too many books with this premise,all teen books seem to be in a dystopian future with totalitarian leaders,all teen book series are set in a future dystopia with a totalitarian government and forbidden love,everyone knows of a teen book series set in a future dystopia with a totalitarian government and forbidden love,21,115,True,False,False,0.0,-0.1779,rhetorical_question_candidate,
test-00127,at the lab joy,5,M2;M3;M4;M5;M6,sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,not excited to be at the lab,it is not a joy to be at the lab,at the lab bummer,i wish i wasn't at the lab right now,at the lab it sucks,4,14,False,False,False,0.0,0.5859,flat_delivery_candidate;positive_surface_wording_candidate;short_ambiguous_candidate,
test-00003,dressler on the bench problems in the peg ? stay tuned,5,M1;M2;M4;M5;M6,not_sarcastic,not_sarcastic,sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,dressler on the bench problems in the peg ? stay tuned,dressler on the bench problems in the peg ? stay tuned,dressler on the bench no problems in the peg ? stay tuned,if they start losing you'll know why,dressler on the bench problems in the peg ? i don't know what more to expect,11,54,True,False,False,0.0,-0.4019,rhetorical_question_candidate,
test-00076,call me when you need me okay ?,5,M2;M3;M4;M5;M6,sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,don t call me when you need me,i'm not going to be ok,do not call me when you need me okay ?,they never called me,please don't call me ever,8,31,True,False,False,0.0,0.2263,rhetorical_question_candidate,
test-00208,2 chests pieces 5 special weapons and 14 gauntlets seems like some balanced drops to me from ib,5,M2;M3;M4;M5;M6,sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,2 chests pieces 5 special weapons and 14 gauntlets seems unbalanced,it is not a balanced drop at all,2 chests pieces 5 special weapons and 14 gauntlets seems like some imbalanced drops to me from ib,2 chests pieces 5 special weapons and 14 gauntlets seems like some imbalanced drops to me from ib,2 chests pieces 5 special weapons and 14 gauntlets deadly,18,95,False,False,False,0.0,0.3182,flat_delivery_candidate;positive_surface_wording_candidate,
test-00029,david villa with a worldclass penaltykick,5,M2;M3;M4;M5;M6,sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,david villa had a bad penalty kick,david villa with a crap kick,david villa with a thirdclass penaltykick,david villa with a bad penaltykick,david villa with a lowquality penaltykick,6,41,False,False,False,0.0,0.0,flat_delivery_candidate;short_ambiguous_candidate,
test-00221,forgot to tag it,5,M2;M3;M4;M5;M6,sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,forgot to tag it,forgot to tag it,forgot to tag it,forgot to tag it,forgot to tag it,4,16,False,False,False,0.0,0.0,flat_delivery_candidate;short_ambiguous_candidate,
test-00111,been away from my computer so just wondering if there's any thing going on in the grain markets today ?,5,M2;M3;M4;M5;M6,sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,been away from my computer so just wondering if there's any thing going on in the grain markets today ?,seems to be a lot of folks posting about the grains market,been close to my computer so just wondering if there's nothing going on in the grain markets today ?,i pretend i don't care that i was away from my computer,i wonder if there is at all happening when i am from my computer,20,103,True,False,False,0.0,0.0,rhetorical_question_candidate,
